Corrida 1        | 5.6080 ms
Corrida 2        | 23.3873 ms
Corrida 3        | 30.7835 ms
Corrida 4        | 29.9749 ms
Corrida 5        | 30.7009 ms
Corrida 6        | 29.9654 ms
Corrida 7        | 30.8869 ms
Corrida 8        | 29.5673 ms
Corrida 9        | 31.0658 ms
Corrida 10       | 31.3405 ms
Corrida 11       | 29.8347 ms
Corrida 12       | 30.7281 ms
Corrida 13       | 29.7650 ms
Corrida 14       | 30.6208 ms
Corrida 15       | 29.9071 ms
Corrida 16       | 31.0059 ms
Corrida 17       | 29.9059 ms
Corrida 18       | 30.7402 ms
Corrida 19       | 29.8703 ms
Corrida 20       | 30.6425 ms
Corrida 21       | 31.5728 ms
Corrida 22       | 29.6914 ms
Corrida 23       | 30.7345 ms
Corrida 24       | 29.7664 ms
Corrida 25       | 30.8420 ms
Corrida 26       | 29.8874 ms
Corrida 27       | 30.7803 ms
Corrida 28       | 29.7922 ms
Corrida 29       | 30.9186 ms
Corrida 30       | 29.7847 ms
Corrida 31       | 30.7947 ms
Corrida 32       | 30.7339 ms
Corrida 33       | 30.3988 ms
Corrida 34       | 30.8409 ms
Corrida 35       | 29.9331 ms
Corrida 36       | 30.8014 ms
Corrida 37       | 29.8591 ms
Corrida 38       | 30.6998 ms
Corrida 39       | 29.8146 ms
Corrida 40       | 30.9286 ms
Corrida 41       | 29.7382 ms
Corrida 42       | 30.8010 ms
Corrida 43       | 30.9229 ms
Corrida 44       | 29.8925 ms
Corrida 45       | 31.2061 ms
Corrida 46       | 29.8685 ms
Corrida 47       | 30.8867 ms
Corrida 48       | 29.8548 ms
Corrida 49       | 30.8106 ms
Corrida 50       | 29.6379 ms
Corrida 51       | 30.8936 ms
Corrida 52       | 29.7453 ms
Corrida 53       | 31.0099 ms
Corrida 54       | 30.8562 ms
Corrida 55       | 29.6280 ms
Corrida 56       | 30.9044 ms
Corrida 57       | 30.3232 ms
Corrida 58       | 30.7293 ms
Corrida 59       | 29.9028 ms
Corrida 60       | 30.8002 ms
Corrida 61       | 29.8879 ms
Corrida 62       | 30.6946 ms
Corrida 63       | 29.8184 ms
Corrida 64       | 30.8607 ms
Corrida 65       | 30.9274 ms
Corrida 66       | 29.7763 ms
Corrida 67       | 30.8703 ms
Corrida 68       | 29.7628 ms
Corrida 69       | 31.4321 ms
Corrida 70       | 29.7476 ms
Corrida 71       | 30.8545 ms
Corrida 72       | 29.7324 ms
Corrida 73       | 30.8917 ms
Corrida 74       | 29.6570 ms
Corrida 75       | 30.9203 ms
Corrida 76       | 30.9046 ms
Corrida 77       | 29.8224 ms
Corrida 78       | 30.6031 ms
Corrida 79       | 125.9078 ms
Corrida 80       | 94.1134 ms
Corrida 81       | 12.8727 ms
Corrida 82       | 43.8054 ms
Corrida 83       | 29.8860 ms
Corrida 84       | 30.6596 ms
Corrida 85       | 29.8571 ms
Corrida 86       | 30.8309 ms
Corrida 87       | 29.7253 ms
Corrida 88       | 30.8900 ms
Corrida 89       | 30.8402 ms
Corrida 90       | 29.7472 ms
Corrida 91       | 30.8136 ms
Corrida 92       | 30.3243 ms
Corrida 93       | 30.8634 ms
Corrida 94       | 29.7003 ms
Corrida 95       | 30.9749 ms
Corrida 96       | 29.8447 ms
Corrida 97       | 30.8427 ms
Corrida 98       | 29.8458 ms
Corrida 99       | 30.8700 ms
Corrida 100      | 30.7735 ms
