Corrida 1        | 5.7594 ms
Corrida 2        | 52.7415 ms
Corrida 3        | 46.8416 ms
Corrida 4        | 36.7915 ms
Corrida 5        | 44.5802 ms
Corrida 6        | 47.0805 ms
Corrida 7        | 31.8757 ms
Corrida 8        | 80.3952 ms
Corrida 9        | 14.4527 ms
Corrida 10       | 63.3424 ms
Corrida 11       | 18.6667 ms
Corrida 12       | 43.6358 ms
Corrida 13       | 64.3976 ms
Corrida 14       | 47.3383 ms
Corrida 15       | 32.8417 ms
Corrida 16       | 46.1061 ms
Corrida 17       | 527.1965 ms
Corrida 18       | 16.1045 ms
Corrida 19       | 16.7983 ms
Corrida 20       | 15.5201 ms
Corrida 21       | 15.3288 ms
Corrida 22       | 14.2430 ms
Corrida 23       | 14.5152 ms
Corrida 24       | 76.6158 ms
Corrida 25       | 15.1622 ms
Corrida 26       | 56.1230 ms
Corrida 27       | 23.0917 ms
Corrida 28       | 41.9174 ms
Corrida 29       | 129.5573 ms
Corrida 30       | 14.9851 ms
Corrida 31       | 15.0907 ms
Corrida 32       | 14.2464 ms
Corrida 33       | 115.0156 ms
Corrida 34       | 14.9939 ms
Corrida 35       | 15.7677 ms
Corrida 36       | 116.3801 ms
Corrida 37       | 13.9159 ms
Corrida 38       | 14.2374 ms
Corrida 39       | 14.1441 ms
Corrida 40       | 127.3416 ms
Corrida 41       | 16.3250 ms
Corrida 42       | 14.0885 ms
Corrida 43       | 14.1207 ms
Corrida 44       | 113.6014 ms
Corrida 45       | 15.5257 ms
Corrida 46       | 15.4884 ms
Corrida 47       | 40.9949 ms
Corrida 48       | 27.9477 ms
Corrida 49       | 31.9759 ms
Corrida 50       | 28.0423 ms
Corrida 51       | 31.9733 ms
Corrida 52       | 27.8596 ms
Corrida 53       | 32.1660 ms
Corrida 54       | 27.7007 ms
Corrida 55       | 31.7956 ms
Corrida 56       | 111.4024 ms
Corrida 57       | 16.4200 ms
Corrida 58       | 15.9678 ms
Corrida 59       | 53.0416 ms
Corrida 60       | 133.4058 ms
Corrida 61       | 15.9266 ms
Corrida 62       | 15.4101 ms
Corrida 63       | 41.5284 ms
Corrida 64       | 65.9875 ms
Corrida 65       | 24.5274 ms
Corrida 66       | 45.7946 ms
Corrida 67       | 55.0367 ms
Corrida 68       | 43.2084 ms
Corrida 69       | 20.6475 ms
Corrida 70       | 55.6209 ms
Corrida 71       | 52.0892 ms
Corrida 72       | 36.4754 ms
Corrida 73       | 51.8401 ms
Corrida 74       | 39.0292 ms
Corrida 75       | 538.4165 ms
Corrida 76       | 208.3817 ms
Corrida 77       | 263.1966 ms
Corrida 78       | 125.6701 ms
Corrida 79       | 15.6176 ms
Corrida 80       | 23.0684 ms
Corrida 81       | 41.4279 ms
Corrida 82       | 30.3192 ms
Corrida 83       | 29.1896 ms
Corrida 84       | 30.5973 ms
Corrida 85       | 29.9399 ms
Corrida 86       | 30.6026 ms
Corrida 87       | 30.3195 ms
Corrida 88       | 29.4137 ms
Corrida 89       | 30.3690 ms
Corrida 90       | 29.4218 ms
Corrida 91       | 30.3182 ms
Corrida 92       | 29.5297 ms
Corrida 93       | 30.5662 ms
Corrida 94       | 29.4221 ms
Corrida 95       | 30.5534 ms
Corrida 96       | 29.4706 ms
Corrida 97       | 30.8444 ms
Corrida 98       | 30.3806 ms
Corrida 99       | 29.3586 ms
Corrida 100      | 30.2970 ms
